easting,northing,degradation_risk,crop_failure_risk,salinity_risk,overall_risk
626730.0,3416830.0,43.8,47.0,18.5,40.02
626830.0,3416830.0,43.8,47.0,18.5,40.02
626330.0,3416730.0,43.8,47.0,18.5,40.02
626430.0,3416730.0,43.8,47.0,18.5,40.02
626530.0,3416730.0,43.8,47.0,18.5,40.02
626630.0,3416730.0,43.8,47.0,18.5,40.02
626730.0,3416730.0,43.8,47.0,18.5,40.02
626830.0,3416730.0,43.8,47.0,18.5,40.02
626930.0,3416730.0,43.8,47.0,18.5,40.02
626130.0,3416630.0,43.8,47.0,18.5,40.02
626230.0,3416630.0,43.8,47.0,18.5,40.02
626330.0,3416630.0,43.8,47.0,18.5,40.02
626430.0,3416630.0,43.8,47.0,18.5,40.02
626530.0,3416630.0,43.8,47.0,18.5,40.02
626630.0,3416630.0,43.8,47.0,18.5,40.02
626730.0,3416630.0,43.8,47.0,18.5,40.02
626830.0,3416630.0,43.8,47.0,18.5,40.02
626930.0,3416630.0,43.8,47.0,18.5,40.02
625930.0,3416530.0,43.8,47.0,18.5,40.02
626030.0,3416530.0,43.8,47.0,18.5,40.02
626130.0,3416530.0,43.8,47.0,18.5,40.02
626230.0,3416530.0,43.8,47.0,18.5,40.02
626330.0,3416530.0,43.8,47.0,18.5,40.02
626430.0,3416530.0,43.8,47.0,18.5,40.02
626530.0,3416530.0,43.8,47.0,18.5,40.02
626630.0,3416530.0,43.8,47.0,18.5,40.02
626730.0,3416530.0,43.8,47.0,18.5,40.02
626830.0,3416530.0,43.8,47.0,18.5,40.02
626930.0,3416530.0,43.8,47.0,18.5,40.02
625730.0,3416430.0,43.8,47.0,18.5,40.02
625830.0,3416430.0,43.8,47.0,18.5,40.02
625930.0,3416430.0,43.8,47.0,18.5,40.02
626030.0,3416430.0,43.8,47.0,18.5,40.02
626130.0,3416430.0,43.8,47.0,18.5,40.02
626230.0,3416430.0,43.8,47.0,18.5,40.02
626330.0,3416430.0,43.8,47.0,18.5,40.02
626430.0,3416430.0,43.8,47.0,18.5,40.02
626530.0,3416430.0,43.8,47.0,18.5,40.02
626630.0,3416430.0,43.8,47.0,18.5,40.02
626730.0,3416430.0,43.8,47.0,18.5,40.02
626830.0,3416430.0,43.8,47.0,18.5,40.02
626930.0,3416430.0,43.8,47.0,18.5,40.02
627030.0,3416430.0,43.8,47.0,18.5,40.02
627930.0,3416430.0,43.8,47.0,18.5,40.02
628030.0,3416430.0,43.8,47.0,18.5,40.02
628130.0,3416430.0,43.8,47.0,18.5,40.02
625330.0,3416330.0,43.8,47.0,18.5,40.02
625430.0,3416330.0,43.8,47.0,18.5,40.02
625530.0,3416330.0,43.8,47.0,18.5,40.02
625630.0,3416330.0,43.8,47.0,18.5,40.02
625730.0,3416330.0,43.8,47.0,18.5,40.02
625830.0,3416330.0,43.8,47.0,18.5,40.02
625930.0,3416330.0,43.8,47.0,18.5,40.02
626030.0,3416330.0,43.8,47.0,18.5,40.02
626130.0,3416330.0,43.8,47.0,18.5,40.02
626230.0,3416330.0,43.8,47.0,18.5,40.02
626330.0,3416330.0,43.8,47.0,18.5,40.02
626430.0,3416330.0,43.8,47.0,18.5,40.02
626530.0,3416330.0,43.8,47.0,18.5,40.02
626630.0,3416330.0,43.8,47.0,18.5,40.02
626730.0,3416330.0,43.8,47.0,18.5,40.02
626830.0,3416330.0,43.8,47.0,18.5,40.02
626930.0,3416330.0,43.8,47.0,18.5,40.02
627030.0,3416330.0,43.8,47.0,18.5,40.02
627930.0,3416330.0,43.8,47.0,18.5,40.02
628030.0,3416330.0,43.8,47.0,18.5,40.02
628130.0,3416330.0,43.8,47.0,18.5,40.02
628230.0,3416330.0,43.8,47.0,18.5,40.02
628330.0,3416330.0,43.8,47.0,18.5,40.02
628430.0,3416330.0,43.8,47.0,18.5,40.02
628530.0,3416330.0,43.8,47.0,18.5,40.02
628630.0,3416330.0,43.8,47.0,18.5,40.02
628730.0,3416330.0,43.8,47.0,18.5,40.02
628830.0,3416330.0,43.8,47.0,18.5,40.02
624930.0,3416230.0,43.8,47.0,18.5,40.02
625030.0,3416230.0,43.8,47.0,18.5,40.02
625130.0,3416230.0,43.8,47.0,18.5,40.02
625230.0,3416230.0,43.8,47.0,18.5,40.02
625330.0,3416230.0,43.8,47.0,18.5,40.02
625430.0,3416230.0,43.8,47.0,18.5,40.02
625530.0,3416230.0,43.8,47.0,18.5,40.02
625630.0,3416230.0,43.8,47.0,18.5,40.02
625730.0,3416230.0,43.8,47.0,18.5,40.02
625830.0,3416230.0,43.8,47.0,18.5,40.02
625930.0,3416230.0,43.8,47.0,18.5,40.02
626030.0,3416230.0,43.8,47.0,18.5,40.02
626130.0,3416230.0,43.8,47.0,18.5,40.02
626230.0,3416230.0,43.8,47.0,18.5,40.02
626330.0,3416230.0,43.8,47.0,18.5,40.02
626430.0,3416230.0,43.8,47.0,18.5,40.02
626530.0,3416230.0,43.8,47.0,18.5,40.02
626630.0,3416230.0,43.8,47.0,18.5,40.02
626730.0,3416230.0,43.8,47.0,18.5,40.02
626830.0,3416230.0,43.8,47.0,18.5,40.02
626930.0,3416230.0,43.8,47.0,18.5,40.02
627030.0,3416230.0,43.8,47.0,18.5,40.02
627130.0,3416230.0,43.8,47.0,18.5,40.02
627230.0,3416230.0,43.8,47.0,18.5,40.02
627830.0,3416230.0,43.8,47.0,18.5,40.02
627930.0,3416230.0,43.8,47.0,18.5,40.02
628030.0,3416230.0,43.8,47.0,18.5,40.02
628130.0,3416230.0,43.8,47.0,18.5,40.02
628230.0,3416230.0,43.8,47.0,18.5,40.02
628330.0,3416230.0,43.8,47.0,18.5,40.02
628430.0,3416230.0,43.8,47.0,18.5,40.02
628530.0,3416230.0,43.8,47.0,18.5,40.02
628630.0,3416230.0,43.8,47.0,18.5,40.02
628730.0,3416230.0,43.8,47.0,18.5,40.02
628830.0,3416230.0,43.8,47.0,18.5,40.02
624630.0,3416130.0,43.8,47.0,18.5,40.02
624730.0,3416130.0,43.8,47.0,18.5,40.02
624830.0,3416130.0,43.8,47.0,18.5,40.02
624930.0,3416130.0,43.8,47.0,18.5,40.02
625030.0,3416130.0,43.8,47.0,18.5,40.02
625130.0,3416130.0,43.8,47.0,18.5,40.02
625230.0,3416130.0,43.8,47.0,18.5,40.02
625330.0,3416130.0,43.8,47.0,18.5,40.02
625430.0,3416130.0,43.8,47.0,18.5,40.02
625530.0,3416130.0,43.8,47.0,18.5,40.02
625630.0,3416130.0,43.8,47.0,18.5,40.02
625730.0,3416130.0,43.8,47.0,18.5,40.02
625830.0,3416130.0,43.8,47.0,18.5,40.02
625930.0,3416130.0,43.8,47.0,18.5,40.02
626030.0,3416130.0,43.8,47.0,18.5,40.02
626130.0,3416130.0,43.8,47.0,18.5,40.02
626230.0,3416130.0,43.8,47.0,18.5,40.02
626330.0,3416130.0,43.8,47.0,18.5,40.02
626430.0,3416130.0,43.8,47.0,18.5,40.02
