system:index,BSI,MNDWI,NBR,NDTI,NDVI,NDWI,date,.geo
20250106T054129_20250106T054746_T43RFQ,-0.17523155283081476,-0.16467679597183024,0.4347434284759599,0.24210963021999488,0.4622211001281874,-0.37755836461288456,2025-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T053209_20250113T053803_T43RFP,-0.28731660250824453,-0.39808660876626467,0.5592272663103126,0.3012987207601999,0.7437703360807651,-0.634839067381053,2025-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T053209_20250113T053803_T43RFQ,-0.25266382736528104,-0.3761963924796458,0.5182036945290104,0.28010029709008144,0.6893780256260081,-0.599306310935376,2025-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250123T053029_20250123T053836_T43RFP,-0.32109571258289,-0.3886489015077151,0.5748416768560743,0.29366630220206,0.7520892578758893,-0.6496623183058331,2025-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250123T053029_20250123T053836_T43RFQ,-0.28363167523190863,-0.46678900005322493,0.5231522896414992,0.2722490670856017,0.7505755679469321,-0.6700441758332164,2025-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250126T054019_20250126T054157_T43RFP,-0.34541974650473367,-0.36119079196454656,0.6045481057124654,0.3088354671125607,0.7533989795741952,-0.6529521007253724,2025-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250126T054019_20250126T054157_T43RFQ,-0.30246604023558415,-0.34829514972369613,0.5481029150047096,0.2777448713502382,0.701009910742334,-0.6157524748742416,2025-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250128T053131_20250128T054026_T43RFP,-0.3336138920398029,-0.4017653016586193,0.6052561052140827,0.3157603115878621,0.754703619251692,-0.6694184572716757,2025-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250128T053131_20250128T054026_T43RFQ,-0.2910550293704564,-0.3774241708546921,0.5498277778822839,0.28685076030929135,0.7041917033230077,-0.6286805380709191,2025-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250131T054121_20250131T054332_T43RFP,-0.27234001703100896,-0.21728116008361767,0.6053405145705275,0.3256871980009801,0.6050011938175762,-0.5387248481358806,2025-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250131T054121_20250131T054332_T43RFQ,-0.23463139807087305,-0.043122987291686204,0.5445368741866129,0.2801240666937689,0.4369944696230963,-0.3665464481969833,2025-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250202T052939_20250202T053107_T43RFP,-0.3031513703372385,-0.2608147252122277,0.581851770348898,0.28776897373702015,0.6535051828672027,-0.572798537363392,2025-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250202T052939_20250202T053107_T43RFQ,-0.2648438786009093,-0.18284361687815093,0.5251739798168779,0.2521001306842395,0.5632556104044565,-0.48588388762787027,2025-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250205T053929_20250205T054313_T43RFP,-0.3445585959211531,-0.42910563902818555,0.5980561185572953,0.30718551459664334,0.7771631832053295,-0.6882847927770108,2025-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250205T053929_20250205T054313_T43RFQ,-0.30662893537267816,-0.4882698104484101,0.5434008383203902,0.2824108077358343,0.7656232394722021,-0.6943266077964174,2025-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250212T052839_20250212T053319_T43RFP,-0.3423236210925013,-0.4296231064288687,0.584753634325357,0.2884786811599294,0.7646097667046111,-0.687712225531582,2025-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250212T052839_20250212T053319_T43RFQ,-0.30540473538540647,-0.4875787920057344,0.5342659907333507,0.2676838182185563,0.7486485911197378,-0.6926326656115206,2025-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250217T052931_20250217T053430_T43RFP,-0.34978072939635335,-0.48401234440855506,0.6020415908768437,0.3186942727234655,0.7908150114611567,-0.7164481232145506,2025-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250217T052931_20250217T053430_T43RFQ,-0.30810193884430626,-0.4698720661119364,0.5514948230976944,0.2921275375592792,0.7421687638141141,-0.6838531835058471,2025-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250220T054811_20250220T054813_T43RFP,-0.29471184616578017,-0.28521630519749747,0.5756558819968283,0.27266201078388824,0.6596159828193947,-0.5908294880335863,2025-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250302T053801_20250302T054536_T43RFP,-0.3911337006458614,-0.40430528837653473,0.6439682888470176,0.32236154671905,0.7768234196667259,-0.7069089119952647,2025-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250302T053801_20250302T054536_T43RFQ,-0.3498916599329042,-0.4247452012219393,0.593461921178402,0.29916725338090744,0.7484413193167921,-0.6890685227122573,2025-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
