lon,lat,class_code,class_name,color,season
76.327379,30.712277,3,Rice,#22c55e,Kharif 2025
76.327828,30.712277,3,Rice,#22c55e,Kharif 2025
76.328278,30.712277,3,Rice,#22c55e,Kharif 2025
76.326481,30.712726,3,Rice,#22c55e,Kharif 2025
76.32693,30.712726,3,Rice,#22c55e,Kharif 2025
76.327379,30.712726,3,Rice,#22c55e,Kharif 2025
76.327828,30.712726,3,Rice,#22c55e,Kharif 2025
76.328278,30.712726,3,Rice,#22c55e,Kharif 2025
76.328727,30.712726,3,Rice,#22c55e,Kharif 2025
76.329176,30.712726,3,Rice,#22c55e,Kharif 2025
76.326032,30.713175,3,Rice,#22c55e,Kharif 2025
76.326481,30.713175,4,Kharif Maize,#fb923c,Kharif 2025
76.32693,30.713175,3,Rice,#22c55e,Kharif 2025
76.327379,30.713175,3,Rice,#22c55e,Kharif 2025
76.327828,30.713175,3,Rice,#22c55e,Kharif 2025
76.328278,30.713175,3,Rice,#22c55e,Kharif 2025
76.328727,30.713175,3,Rice,#22c55e,Kharif 2025
76.329176,30.713175,3,Rice,#22c55e,Kharif 2025
76.329625,30.713175,3,Rice,#22c55e,Kharif 2025
76.326032,30.713624,3,Rice,#22c55e,Kharif 2025
76.326481,30.713624,3,Rice,#22c55e,Kharif 2025
76.32693,30.713624,3,Rice,#22c55e,Kharif 2025
76.327379,30.713624,3,Rice,#22c55e,Kharif 2025
76.327828,30.713624,3,Rice,#22c55e,Kharif 2025
76.328278,30.713624,3,Rice,#22c55e,Kharif 2025
76.328727,30.713624,3,Rice,#22c55e,Kharif 2025
76.329176,30.713624,3,Rice,#22c55e,Kharif 2025
76.329625,30.713624,3,Rice,#22c55e,Kharif 2025
76.330074,30.713624,3,Rice,#22c55e,Kharif 2025
76.291447,30.714073,3,Rice,#22c55e,Kharif 2025
76.325583,30.714073,3,Rice,#22c55e,Kharif 2025
76.326032,30.714073,3,Rice,#22c55e,Kharif 2025
76.326481,30.714073,3,Rice,#22c55e,Kharif 2025
76.32693,30.714073,3,Rice,#22c55e,Kharif 2025
76.327379,30.714073,3,Rice,#22c55e,Kharif 2025
76.327828,30.714073,3,Rice,#22c55e,Kharif 2025
76.328278,30.714073,3,Rice,#22c55e,Kharif 2025
76.328727,30.714073,3,Rice,#22c55e,Kharif 2025
76.329176,30.714073,3,Rice,#22c55e,Kharif 2025
76.329625,30.714073,3,Rice,#22c55e,Kharif 2025
76.330074,30.714073,3,Rice,#22c55e,Kharif 2025
76.290998,30.714522,3,Rice,#22c55e,Kharif 2025
76.291447,30.714522,3,Rice,#22c55e,Kharif 2025
76.291896,30.714522,3,Rice,#22c55e,Kharif 2025
76.325134,30.714522,3,Rice,#22c55e,Kharif 2025
76.325583,30.714522,3,Rice,#22c55e,Kharif 2025
76.326032,30.714522,3,Rice,#22c55e,Kharif 2025
76.326481,30.714522,3,Rice,#22c55e,Kharif 2025
76.32693,30.714522,3,Rice,#22c55e,Kharif 2025
76.327379,30.714522,3,Rice,#22c55e,Kharif 2025
76.327828,30.714522,3,Rice,#22c55e,Kharif 2025
76.328278,30.714522,3,Rice,#22c55e,Kharif 2025
76.328727,30.714522,3,Rice,#22c55e,Kharif 2025
76.329176,30.714522,3,Rice,#22c55e,Kharif 2025
76.329625,30.714522,3,Rice,#22c55e,Kharif 2025
