lon,lat,class_code,class_name,color,season
76.327604,30.712052,1,Wheat,#fbbf24,Rabi 2025-26
76.326706,30.71295,1,Wheat,#fbbf24,Rabi 2025-26
76.327604,30.71295,2,Spring Maize,#16a34a,Rabi 2025-26
76.328502,30.71295,1,Wheat,#fbbf24,Rabi 2025-26
76.329401,30.71295,1,Wheat,#fbbf24,Rabi 2025-26
76.325807,30.713849,1,Wheat,#fbbf24,Rabi 2025-26
76.326706,30.713849,1,Wheat,#fbbf24,Rabi 2025-26
76.327604,30.713849,1,Wheat,#fbbf24,Rabi 2025-26
76.328502,30.713849,1,Wheat,#fbbf24,Rabi 2025-26
76.329401,30.713849,1,Wheat,#fbbf24,Rabi 2025-26
76.330299,30.713849,1,Wheat,#fbbf24,Rabi 2025-26
76.290773,30.714747,1,Wheat,#fbbf24,Rabi 2025-26
76.291671,30.714747,1,Wheat,#fbbf24,Rabi 2025-26
76.325807,30.714747,1,Wheat,#fbbf24,Rabi 2025-26
76.326706,30.714747,1,Wheat,#fbbf24,Rabi 2025-26
76.327604,30.714747,1,Wheat,#fbbf24,Rabi 2025-26
76.328502,30.714747,1,Wheat,#fbbf24,Rabi 2025-26
76.329401,30.714747,1,Wheat,#fbbf24,Rabi 2025-26
76.289875,30.715645,2,Spring Maize,#16a34a,Rabi 2025-26
76.290773,30.715645,1,Wheat,#fbbf24,Rabi 2025-26
76.291671,30.715645,1,Wheat,#fbbf24,Rabi 2025-26
76.29257,30.715645,1,Wheat,#fbbf24,Rabi 2025-26
76.293468,30.715645,1,Wheat,#fbbf24,Rabi 2025-26
76.294366,30.715645,1,Wheat,#fbbf24,Rabi 2025-26
76.324909,30.715645,1,Wheat,#fbbf24,Rabi 2025-26
76.325807,30.715645,1,Wheat,#fbbf24,Rabi 2025-26
76.326706,30.715645,1,Wheat,#fbbf24,Rabi 2025-26
76.327604,30.715645,1,Wheat,#fbbf24,Rabi 2025-26
76.328502,30.715645,1,Wheat,#fbbf24,Rabi 2025-26
76.329401,30.715645,1,Wheat,#fbbf24,Rabi 2025-26
76.341977,30.715645,1,Wheat,#fbbf24,Rabi 2025-26
76.342875,30.715645,1,Wheat,#fbbf24,Rabi 2025-26
76.343774,30.715645,1,Wheat,#fbbf24,Rabi 2025-26
76.288976,30.716544,1,Wheat,#fbbf24,Rabi 2025-26
76.289875,30.716544,2,Spring Maize,#16a34a,Rabi 2025-26
76.290773,30.716544,1,Wheat,#fbbf24,Rabi 2025-26
76.291671,30.716544,1,Wheat,#fbbf24,Rabi 2025-26
76.29257,30.716544,1,Wheat,#fbbf24,Rabi 2025-26
76.293468,30.716544,1,Wheat,#fbbf24,Rabi 2025-26
76.294366,30.716544,1,Wheat,#fbbf24,Rabi 2025-26
76.295265,30.716544,1,Wheat,#fbbf24,Rabi 2025-26
76.296163,30.716544,1,Wheat,#fbbf24,Rabi 2025-26
76.298858,30.716544,1,Wheat,#fbbf24,Rabi 2025-26
76.299756,30.716544,2,Spring Maize,#16a34a,Rabi 2025-26
76.324011,30.716544,1,Wheat,#fbbf24,Rabi 2025-26
76.324909,30.716544,1,Wheat,#fbbf24,Rabi 2025-26
76.325807,30.716544,1,Wheat,#fbbf24,Rabi 2025-26
76.326706,30.716544,1,Wheat,#fbbf24,Rabi 2025-26
76.327604,30.716544,1,Wheat,#fbbf24,Rabi 2025-26
76.328502,30.716544,1,Wheat,#fbbf24,Rabi 2025-26
76.329401,30.716544,1,Wheat,#fbbf24,Rabi 2025-26
76.330299,30.716544,1,Wheat,#fbbf24,Rabi 2025-26
76.34018,30.716544,1,Wheat,#fbbf24,Rabi 2025-26
76.341079,30.716544,1,Wheat,#fbbf24,Rabi 2025-26
76.341977,30.716544,5,Agroforestry,#064e3b,Rabi 2025-26
76.342875,30.716544,1,Wheat,#fbbf24,Rabi 2025-26
76.343774,30.716544,1,Wheat,#fbbf24,Rabi 2025-26
76.344672,30.716544,1,Wheat,#fbbf24,Rabi 2025-26
76.288078,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.288976,30.717442,2,Spring Maize,#16a34a,Rabi 2025-26
76.289875,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.290773,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.291671,30.717442,2,Spring Maize,#16a34a,Rabi 2025-26
76.29257,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.293468,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.294366,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.295265,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.296163,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.297061,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.297959,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.298858,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.299756,30.717442,2,Spring Maize,#16a34a,Rabi 2025-26
76.300654,30.717442,2,Spring Maize,#16a34a,Rabi 2025-26
76.301553,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.302451,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.323112,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.324011,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.324909,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.325807,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.326706,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.327604,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.328502,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.329401,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.330299,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.338384,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.339282,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.34018,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.341079,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.341977,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.342875,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.343774,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.344672,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.34557,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.346469,30.717442,1,Wheat,#fbbf24,Rabi 2025-26
76.28718,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.288078,30.71834,2,Spring Maize,#16a34a,Rabi 2025-26
76.288976,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.289875,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.290773,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.291671,30.71834,2,Spring Maize,#16a34a,Rabi 2025-26
76.29257,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.293468,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.294366,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.295265,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.296163,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.297061,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.297959,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.298858,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.299756,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.300654,30.71834,2,Spring Maize,#16a34a,Rabi 2025-26
76.301553,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.302451,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.303349,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.304248,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.322214,30.71834,2,Spring Maize,#16a34a,Rabi 2025-26
76.323112,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.324011,30.71834,2,Spring Maize,#16a34a,Rabi 2025-26
76.324909,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.325807,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.326706,30.71834,2,Spring Maize,#16a34a,Rabi 2025-26
76.327604,30.71834,2,Spring Maize,#16a34a,Rabi 2025-26
76.328502,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.329401,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.330299,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.331197,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.332095,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.335689,30.71834,5,Agroforestry,#064e3b,Rabi 2025-26
76.336587,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.337485,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.338384,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.339282,30.71834,5,Agroforestry,#064e3b,Rabi 2025-26
76.34018,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.341079,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.341977,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.342875,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.343774,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.344672,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.34557,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.346469,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.347367,30.71834,1,Wheat,#fbbf24,Rabi 2025-26
76.286281,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.28718,30.719239,2,Spring Maize,#16a34a,Rabi 2025-26
76.288078,30.719239,2,Spring Maize,#16a34a,Rabi 2025-26
76.288976,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.289875,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.290773,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.291671,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.29257,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.293468,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.294366,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.295265,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.296163,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.297061,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.297959,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.298858,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.299756,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.300654,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.301553,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.302451,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.303349,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.304248,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.305146,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.306044,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.321316,30.719239,2,Spring Maize,#16a34a,Rabi 2025-26
76.322214,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.323112,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.324011,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.324909,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.325807,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.326706,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.327604,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.328502,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
76.329401,30.719239,1,Wheat,#fbbf24,Rabi 2025-26
