sample_id,easting_utm,northing_utm,longitude,latitude,bulk_density,pH,EC,K2O,available_P,OC,CaCO3,available_N,CEC,dem,slope,aspect,lulc,lithology,geomorphology,NDVI,NDBI,SAVI,BSI
id,628845.0,3407015.0,76.34673631,30.78880211,231.5495,8.427,0.099,55.3336,19.712,0.4125,0.375,225.792,14.0652174,224.3793792724609,1.0,241.51324462890625,3.0,2.0,1.0,0.5060422971945727,-0.1970224441654608,0.3023465671037175,-0.1190728946648846
filebc494d5a79.1,624795.0,3402715.0,76.30378663,30.75083684,194.663,8.301,0.136,209.188,15.008,0.525,0.625,288.512,14.0652174,221.1684112548828,4.0,333.2046203613281,2.0,1.0,1.0,0.163567134999674,0.0662749710013951,0.099560280717368,0.1039271312092277
filebc494d5a79.2,630695.0,3414945.0,76.36697308,30.86052871,231.4,8.238,0.123,99.8704,87.136,0.6225,0.25,225.792,10.9282609,227.6719665527344,4.0,282.4151611328125,3.0,1.0,1.0,0.3602396195019197,-0.1082851797087717,0.2097228102293321,-0.0218744436577366
filebc494d5a79.3,629605.0,3405295.0,76.354353,30.77359641,161.879,8.49,0.098,78.2768,26.88,0.285,0.5,188.16,9.42173913,224.68038940429688,5.0,317.93609619140625,2.0,1.0,1.0,0.2001223439779398,0.1108845548021131,0.1187050589140438,0.1222205323170241
filebc494d5a79.4,628925.0,3401215.0,76.34673631,30.73686448,198.649,8.34,0.176,49.2604,57.344,0.66,0.75,313.6,14.0652174,224.7787170410156,4.0,191.12789916992188,3.0,1.0,1.0,0.4094531972616554,-0.1337408909512691,0.2152322176830546,-0.0581091157866736
filebc494d5a79.5,636375.0,3407015.0,76.42530929,30.78835403,181.078,8.058,0.12,90.4232,69.44,0.375,0.5,225.792,13.6934783,230.5030975341797,4.0,39.33340835571289,3.0,1.0,1.0,0.453368852210969,-0.0852757295152022,0.2342336380360629,-0.0326335509805748
filebc494d5a79.6,628135.0,3411645.0,76.33978981,30.83103944,209.393,7.885,0.11,177.4724,34.944,0.135,0.875,225.792,7.95217391,225.71401977539065,4.0,27.363433837890625,1.0,1.0,1.0,0.4477361563300864,-0.0850439911988886,0.2801352270813263,-0.0144477253465796
filebc494d5a79.7,624855.0,3408945.0,76.30517202,30.80703252,264.255,7.922,0.075,325.9284,112.0,0.6375,0.25,225.792,15.0456522,225.2000732421875,4.0,231.4379119873047,3.0,2.0,1.0,0.4436407587807832,-0.0981201136737896,0.2654484313500296,-0.0334448088030278
filebc494d5a79.8,635585.0,3403905.0,76.41664364,30.76038993,175.972,8.398,0.095,62.0816,20.832,0.5625,0.5,250.88,16.1173913,223.777099609375,4.0,232.18467712402344,2.0,1.0,1.0,0.5079684552817262,-0.1879571154606776,0.299125323653121,-0.117784170061948
filebc494d5a79.9,625985.0,3409055.0,76.31699539,30.80790536,246.685,8.429,0.091,39.8132,26.432,0.3375,0.5,225.792,8.57173913,224.6471710205078,3.0,28.00686264038086,2.0,1.0,1.0,0.501403708648911,-0.2015277456712226,0.3128941826628626,-0.1144708497115515
filebc494d5a79.10,631685.0,3399715.0,76.37536785,30.72303063,230.579,8.618,0.066,42.5124,6.496,0.15,0.375,188.16,14.0652174,220.8843688964844,3.0,248.7432098388672,1.0,1.0,1.0,0.4879227144427054,-0.1197455080752544,0.2916265674331553,-0.0604706137840705
filebc494d5a79.11,633885.0,3408975.0,76.3995481,30.80631827,177.512,8.424,0.108,49.2604,10.08,0.4575,0.625,188.16,14.4130435,225.37353515625,3.0,351.38201904296875,2.0,1.0,1.0,0.6900821072809019,-0.2193700016132766,0.4494143648913164,-0.17177200336252
filebc494d5a79.12,627895.0,3407635.0,76.33677986,30.79489107,209.397,8.174,0.145,60.0572,56.896,0.42,0.5,426.496,10.5706522,223.89198303222656,3.0,313.3818359375,3.0,1.0,1.0,0.488464954306852,-0.0679611521540632,0.2276674958099471,-0.0384071543690145
filebc494d5a79.13,630815.0,3412185.0,76.36787452,30.83561789,250.9,8.265,0.079,55.3336,33.6,0.375,0.25,163.072,14.0652174,223.84092712402344,3.0,219.51885986328125,2.0,1.0,1.0,0.4059678477408255,-0.0291218559476312,0.2406712941102869,0.0264169542282815
filebc494d5a79.14,632895.0,3405475.0,76.38874792,30.77485661,195.953,7.95,0.074,47.9108,19.712,0.3,0.5,275.968,10.7304348,223.94265747070312,4.0,311.3553771972656,2.0,1.0,1.0,0.3631548047342717,-0.0221780837873065,0.2204096261430315,0.0316777473146062
filebc494d5a79.15,632865.0,3406555.0,76.38857446,30.78460251,205.827,7.76,0.075,134.96,15.904,0.15,0.5,263.424,14.0652174,237.4248962402344,6.0,357.2786865234375,3.0,1.0,1.0,0.5702309210949221,-0.2455956124973504,0.3461813248756404,-0.168172963318203
filebc494d5a79.16,626855.0,3400995.0,76.32509108,30.7351024,252.789,8.054,0.121,99.8704,62.048,0.735,0.125,225.792,8.26521739,220.04632568359372,3.0,5.574836730957031,3.0,1.0,1.0,0.3249370418895761,0.029296438677529,0.189334645106956,0.0574675909584753
filebc494d5a79.17,627815.0,3415195.0,76.33688871,30.86309845,193.2,8.085,0.223,188.944,140.0,0.765,1.5,313.6,14.0652174,225.28399658203125,3.0,193.45330810546875,2.0,1.0,1.0,0.6939191111242622,-0.3245364443825639,0.4240251213939299,-0.2594843352983016
filebc494d5a79.18,633225.0,3403875.0,76.39198776,30.76038623,237.788,8.093,0.16,118.09,94.08,0.6975,0.25,213.248,21.8195652,222.91053771972656,4.0,203.2383728027344,3.0,1.0,1.0,0.3742567140182037,-0.0847597979662506,0.2042244441387147,-0.0203454767073895
filebc494d5a79.19,627145.0,3406115.0,76.32875393,30.78125961,227.37,8.328,0.108,64.7808,37.856,0.4875,0.375,225.792,16.6434783,224.86314392089844,3.0,139.14109802246094,2.0,1.0,1.0,0.6089044290530101,-0.114773957069694,0.2869976813171997,-0.081782178880468
filebc494d5a79.20,625215.0,3406525.0,76.30863864,30.7851634,212.175,8.297,0.097,49.2604,21.504,0.48,0.25,225.792,11.9630435,223.66961669921875,3.0,178.75869750976562,3.0,1.0,1.0,0.5480552882431176,-0.2039999932944773,0.3153125333500979,-0.1365688442738569
filebc494d5a79.21,621255.0,3406125.0,76.26721352,30.78196596,195.448,8.342,0.073,37.114,23.52,0.135,0.25,188.16,14.0652174,222.94351196289065,3.0,265.33770751953125,1.0,1.0,1.0,0.6957427705522351,-0.2898550558365008,0.4193683347987004,-0.237833364318808
filebc494d5a79.22,626495.0,3414575.0,76.32300841,30.85764725,157.756,8.488,0.103,47.9108,38.752,0.45,0.375,188.16,18.7608696,224.3668975830078,3.0,344.9764404296875,2.0,1.0,1.0,0.5717041607755772,-0.2514080758190622,0.3288532544940024,-0.1761517442420756
filebc494d5a79.23,630415.0,3412845.0,76.3637771,30.84161577,240.339,8.448,0.087,45.2116,37.632,0.3525,0.5,250.88,13.2,226.75392150878903,3.0,186.6104431152344,3.0,1.0,1.0,0.2650475173163056,0.0134843006796923,0.1713700505313498,0.0634745461149915
