system:index,image_count,mean,month,zone,.geo
0_0,9,0.8234282496650336,Jan-2025,Healthy Cropland (North),"{""type"":""Point"",""coordinates"":[76.34,30.839999999999996]}"
0_1,9,0.6089508421028206,Jan-2025,Stressed Cropland (Central),"{""type"":""Point"",""coordinates"":[76.36,30.79]}"
0_2,9,0.8222554092801294,Jan-2025,Peri-urban SE,"{""type"":""Point"",""coordinates"":[76.41,30.73999999999999]}"
0_3,9,0.8611812214865907,Jan-2025,Vegetation West,"{""type"":""Point"",""coordinates"":[76.3,30.799999999999997]}"
1_0,12,0.8180917559692397,Feb-2025,Healthy Cropland (North),"{""type"":""Point"",""coordinates"":[76.34,30.839999999999996]}"
1_1,12,0.31389182112301267,Feb-2025,Stressed Cropland (Central),"{""type"":""Point"",""coordinates"":[76.36,30.79]}"
1_2,12,0.9243023800363993,Feb-2025,Peri-urban SE,"{""type"":""Point"",""coordinates"":[76.41,30.73999999999999]}"
1_3,12,0.9238076192768114,Feb-2025,Vegetation West,"{""type"":""Point"",""coordinates"":[76.3,30.799999999999997]}"
2_0,19,0.8099062915288123,Mar-2025,Healthy Cropland (North),"{""type"":""Point"",""coordinates"":[76.34,30.839999999999996]}"
2_1,19,0.24094710368022357,Mar-2025,Stressed Cropland (Central),"{""type"":""Point"",""coordinates"":[76.36,30.79]}"
2_2,19,0.9027777811462767,Mar-2025,Peri-urban SE,"{""type"":""Point"",""coordinates"":[76.41,30.73999999999999]}"
2_3,19,0.889212826039757,Mar-2025,Vegetation West,"{""type"":""Point"",""coordinates"":[76.3,30.799999999999997]}"
3_0,26,0.6997285384349217,Apr-2025,Healthy Cropland (North),"{""type"":""Point"",""coordinates"":[76.34,30.839999999999996]}"
3_1,26,0.6954170245043187,Apr-2025,Stressed Cropland (Central),"{""type"":""Point"",""coordinates"":[76.36,30.79]}"
3_2,26,0.30013036087231043,Apr-2025,Peri-urban SE,"{""type"":""Point"",""coordinates"":[76.41,30.73999999999999]}"
3_3,26,0.38162875901548476,Apr-2025,Vegetation West,"{""type"":""Point"",""coordinates"":[76.3,30.799999999999997]}"
4_0,23,0.17961167526062063,May-2025,Healthy Cropland (North),"{""type"":""Point"",""coordinates"":[76.34,30.839999999999996]}"
4_1,23,0.6424088672831451,May-2025,Stressed Cropland (Central),"{""type"":""Point"",""coordinates"":[76.36,30.79]}"
4_2,23,0.13528094297225254,May-2025,Peri-urban SE,"{""type"":""Point"",""coordinates"":[76.41,30.73999999999999]}"
4_3,23,0.12394429557455236,May-2025,Vegetation West,"{""type"":""Point"",""coordinates"":[76.3,30.799999999999997]}"
5_0,9,0.4093431799547534,Jun-2025,Healthy Cropland (North),"{""type"":""Point"",""coordinates"":[76.34,30.839999999999996]}"
5_1,9,0.08241079705494042,Jun-2025,Stressed Cropland (Central),"{""type"":""Point"",""coordinates"":[76.36,30.79]}"
5_2,9,0.09850747379174832,Jun-2025,Peri-urban SE,"{""type"":""Point"",""coordinates"":[76.41,30.73999999999999]}"
5_3,9,0.0872483371204233,Jun-2025,Vegetation West,"{""type"":""Point"",""coordinates"":[76.3,30.799999999999997]}"
6_0,4,0.5439293713908989,Jul-2025,Healthy Cropland (North),"{""type"":""Point"",""coordinates"":[76.34,30.839999999999996]}"
6_1,4,0.5310250019469335,Jul-2025,Stressed Cropland (Central),"{""type"":""Point"",""coordinates"":[76.36,30.79]}"
6_2,4,0.18815403299261207,Jul-2025,Peri-urban SE,"{""type"":""Point"",""coordinates"":[76.41,30.73999999999999]}"
6_3,4,0.4709566049627976,Jul-2025,Vegetation West,"{""type"":""Point"",""coordinates"":[76.3,30.799999999999997]}"
7_0,4,0.22190748320869694,Aug-2025,Healthy Cropland (North),"{""type"":""Point"",""coordinates"":[76.34,30.839999999999996]}"
7_1,4,0.8766044645911132,Aug-2025,Stressed Cropland (Central),"{""type"":""Point"",""coordinates"":[76.36,30.79]}"
7_2,4,0.894358027260172,Aug-2025,Peri-urban SE,"{""type"":""Point"",""coordinates"":[76.41,30.73999999999999]}"
7_3,4,0.8794293592426102,Aug-2025,Vegetation West,"{""type"":""Point"",""coordinates"":[76.3,30.799999999999997]}"
8_0,13,0.33545350254045736,Sep-2025,Healthy Cropland (North),"{""type"":""Point"",""coordinates"":[76.34,30.839999999999996]}"
8_1,13,0.6634414134484032,Sep-2025,Stressed Cropland (Central),"{""type"":""Point"",""coordinates"":[76.36,30.79]}"
8_2,13,0.6554843742259456,Sep-2025,Peri-urban SE,"{""type"":""Point"",""coordinates"":[76.41,30.73999999999999]}"
8_3,13,0.6257122161897494,Sep-2025,Vegetation West,"{""type"":""Point"",""coordinates"":[76.3,30.799999999999997]}"
9_0,21,0.6367702922247269,Oct-2025,Healthy Cropland (North),"{""type"":""Point"",""coordinates"":[76.34,30.839999999999996]}"
9_1,21,0.17493896313502483,Oct-2025,Stressed Cropland (Central),"{""type"":""Point"",""coordinates"":[76.36,30.79]}"
9_2,21,0.2184368871126059,Oct-2025,Peri-urban SE,"{""type"":""Point"",""coordinates"":[76.41,30.73999999999999]}"
9_3,21,0.28901733842657307,Oct-2025,Vegetation West,"{""type"":""Point"",""coordinates"":[76.3,30.799999999999997]}"
10_0,30,0.35306780166786744,Nov-2025,Healthy Cropland (North),"{""type"":""Point"",""coordinates"":[76.34,30.839999999999996]}"
10_1,30,0.2167880937292859,Nov-2025,Stressed Cropland (Central),"{""type"":""Point"",""coordinates"":[76.36,30.79]}"
10_2,30,0.1554089376328853,Nov-2025,Peri-urban SE,"{""type"":""Point"",""coordinates"":[76.41,30.73999999999999]}"
