date,satellite,cloud_pct,status,season,threshold,action
2025-05-08,Sentinel-2C,27.1,REJECTED,Rabi,25,Skipped — cloud cover 27.1% exceeds 25% Rabi QA threshold
2025-05-08,Sentinel-2C,47.0,REJECTED,Rabi,25,Skipped — cloud cover 47.0% exceeds 25% Rabi QA threshold
2025-05-10,Sentinel-2A,48.5,REJECTED,Rabi,25,Skipped — cloud cover 48.5% exceeds 25% Rabi QA threshold
2025-05-10,Sentinel-2A,31.1,REJECTED,Rabi,25,Skipped — cloud cover 31.1% exceeds 25% Rabi QA threshold
2025-05-11,Sentinel-2C,0.0,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-05-11,Sentinel-2C,0.7,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-05-13,Sentinel-2A,1.1,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-05-13,Sentinel-2A,5.7,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-05-13,Sentinel-2B,1.3,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-05-13,Sentinel-2B,0.6,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-05-16,Sentinel-2B,39.0,REJECTED,Rabi,25,Skipped — cloud cover 39.0% exceeds 25% Rabi QA threshold
2025-05-16,Sentinel-2B,23.3,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-05-18,Sentinel-2C,4.6,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-05-18,Sentinel-2C,0.5,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-05-18,Sentinel-2C,8.0,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-05-18,Sentinel-2C,3.7,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-05-21,Sentinel-2C,0.7,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-05-21,Sentinel-2C,0.0,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-05-23,Sentinel-2B,0.0,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
