sample_id,easting_utm,northing_utm,longitude,latitude,bulk_density,pH,EC,K2O,available_P,OC,CaCO3,available_N,CEC
id,628845.0,3407015.0,76.34673631,30.78880211,231.5495,8.427,0.099,55.3336,19.712,0.4125,0.375,225.792,14.0652174
filebc494d5a79.1,624795.0,3402715.0,76.30378663,30.75083684,194.663,8.301,0.136,209.188,15.008,0.525,0.625,288.512,14.0652174
filebc494d5a79.2,630695.0,3414945.0,76.36697308,30.86052871,231.4,8.238,0.123,99.8704,87.136,0.6225,0.25,225.792,10.9282609
filebc494d5a79.3,629605.0,3405295.0,76.354353,30.77359641,161.879,8.49,0.098,78.2768,26.88,0.285,0.5,188.16,9.42173913
filebc494d5a79.4,628925.0,3401215.0,76.34673631,30.73686448,198.649,8.34,0.176,49.2604,57.344,0.66,0.75,313.6,14.0652174
filebc494d5a79.5,636375.0,3407015.0,76.42530929,30.78835403,181.078,8.058,0.12,90.4232,69.44,0.375,0.5,225.792,13.6934783
filebc494d5a79.6,628135.0,3411645.0,76.33978981,30.83103944,209.393,7.885,0.11,177.4724,34.944,0.135,0.875,225.792,7.95217391
filebc494d5a79.7,624855.0,3408945.0,76.30517202,30.80703252,264.255,7.922,0.075,325.9284,112.0,0.6375,0.25,225.792,15.0456522
filebc494d5a79.8,635585.0,3403905.0,76.41664364,30.76038993,175.972,8.398,0.095,62.0816,20.832,0.5625,0.5,250.88,16.1173913
filebc494d5a79.9,625985.0,3409055.0,76.31699539,30.80790536,246.685,8.429,0.091,39.8132,26.432,0.3375,0.5,225.792,8.57173913
filebc494d5a79.10,631685.0,3399715.0,76.37536785,30.72303063,230.579,8.618,0.066,42.5124,6.496,0.15,0.375,188.16,14.0652174
filebc494d5a79.11,633885.0,3408975.0,76.3995481,30.80631827,177.512,8.424,0.108,49.2604,10.08,0.4575,0.625,188.16,14.4130435
filebc494d5a79.12,627895.0,3407635.0,76.33677986,30.79489107,209.397,8.174,0.145,60.0572,56.896,0.42,0.5,426.496,10.5706522
filebc494d5a79.13,630815.0,3412185.0,76.36787452,30.83561789,250.9,8.265,0.079,55.3336,33.6,0.375,0.25,163.072,14.0652174
filebc494d5a79.14,632895.0,3405475.0,76.38874792,30.77485661,195.953,7.95,0.074,47.9108,19.712,0.3,0.5,275.968,10.7304348
filebc494d5a79.15,632865.0,3406555.0,76.38857446,30.78460251,205.827,7.76,0.075,134.96,15.904,0.15,0.5,263.424,14.0652174
filebc494d5a79.16,626855.0,3400995.0,76.32509108,30.7351024,252.789,8.054,0.121,99.8704,62.048,0.735,0.125,225.792,8.26521739
filebc494d5a79.17,627815.0,3415195.0,76.33688871,30.86309845,193.2,8.085,0.223,188.944,140.0,0.765,1.5,313.6,14.0652174
filebc494d5a79.18,633225.0,3403875.0,76.39198776,30.76038623,237.788,8.093,0.16,118.09,94.08,0.6975,0.25,213.248,21.8195652
filebc494d5a79.19,627145.0,3406115.0,76.32875393,30.78125961,227.37,8.328,0.108,64.7808,37.856,0.4875,0.375,225.792,16.6434783
filebc494d5a79.20,625215.0,3406525.0,76.30863864,30.7851634,212.175,8.297,0.097,49.2604,21.504,0.48,0.25,225.792,11.9630435
filebc494d5a79.21,621255.0,3406125.0,76.26721352,30.78196596,195.448,8.342,0.073,37.114,23.52,0.135,0.25,188.16,14.0652174
filebc494d5a79.22,626495.0,3414575.0,76.32300841,30.85764725,157.756,8.488,0.103,47.9108,38.752,0.45,0.375,188.16,18.7608696
filebc494d5a79.23,630415.0,3412845.0,76.3637771,30.84161577,240.339,8.448,0.087,45.2116,37.632,0.3525,0.5,250.88,13.2
filebc494d5a79.24,629835.0,3415045.0,76.35799298,30.86152545,250.575,7.66,0.072,38.4636,19.712,0.3975,0.375,150.528,14.0652174
filebc494d5a79.25,626785.0,3400335.0,76.32427862,30.72915588,243.247,8.527,0.099,59.3824,36.96,0.615,6.875,225.792,4.53804348
filebc494d5a79.26,624455.0,3408225.0,76.30090402,30.80057932,198.193,8.18,0.091,45.2116,27.776,0.375,0.5,62.72,14.0652174
filebc494d5a79.27,628965.0,3399165.0,76.34689685,30.71836689,225.858,8.49,0.088,67.48,18.144,0.1875,2.5,250.88,14.0652174
filebc494d5a79.28,627555.0,3409595.0,76.33347109,30.81260892,242.368,8.47,0.055,24.2928,27.328,0.0375,0.625,125.44,14.0652174
filebc494d5a79.29,633465.0,3406895.0,76.39488778,30.78760229,150.594,8.339,0.101,67.48,35.616,0.525,0.5,288.512,14.0652174
filebc494d5a79.30,623805.0,3411895.0,76.29455518,30.83375502,312.837,8.476,0.075,10.122,6.72,0.2025,0.25,125.44,8.48478261
filebc494d5a79.31,634025.0,3407035.0,76.40075737,30.78880211,244.262,8.553,0.105,50.61,19.488,0.45,1.5,263.424,26.0434783
filebc494d5a79.32,633795.0,3407275.0,76.39838547,30.79099305,230.165,8.504,0.099,28.3416,23.296,0.375,0.625,213.248,14.0652174
filebc494d5a79.33,628595.0,3406285.0,76.34392527,30.78263703,247.164,8.391,0.097,49.2604,15.008,0.3,0.25,225.792,9.99782609
filebc494d5a79.34,627815.0,3408295.0,76.33602623,30.80085358,202.304,8.44,0.11,43.1872,32.704,0.315,0.625,225.792,12.5065217
filebc494d5a79.35,627225.0,3401805.0,76.32905543,30.74237002,255.342,8.143,0.142,120.1144,87.36,0.375,0.25,175.616,19.0956522
filebc494d5a79.36,626225.0,3403655.0,76.31883872,30.75916576,255.465,8.256,0.104,36.4392,51.072,0.375,0.375,225.792,13.8369565
filebc494d5a79.37,636275.0,3407425.0,76.42431895,30.79206401,225.907,8.521,0.074,19.5692,14.56,0.3,0.125,225.792,15.273913
filebc494d5a79.38,632485.0,3402965.0,76.3841404,30.75225992,263.105,8.285,0.129,103.9192,108.416,0.5775,0.375,188.16,14.0652174
filebc494d5a79.39,633645.0,3404185.0,76.39641537,30.76313554,215.703,8.348,0.107,43.862,19.712,0.8625,0.25,263.424,10.7152174
filebc494d5a79.40,623905.0,3411195.0,76.29551578,30.82742977,169.849,8.171,0.139,81.6508,67.424,0.3,0.5,225.792,11.7543478
filebc494d5a79.41,631105.0,3408225.0,76.37039883,30.79986312,239.261,8.332,0.113,47.236,16.128,0.4125,0.5,188.16,14.0652174
filebc494d5a79.42,634255.0,3407155.0,76.40317632,30.78985861,115.802,8.323,0.13,92.4476,40.32,0.675,2.5,301.056,31.2771739
filebc494d5a79.43,636595.0,3406225.0,76.42750271,30.78120237,141.346,7.027,0.123,76.2524,10.08,0.1875,0.25,163.072,7.52826087
filebc494d5a79.44,624125.0,3410475.0,76.29772818,30.82091152,210.86,8.149,0.067,124.838,9.408,0.12,0.375,125.44,14.0652174
filebc494d5a79.45,632775.0,3408215.0,76.38784922,30.7995872,307.897,8.567,0.081,16.87,23.968,0.21,1.875,150.528,14.0652174
filebc494d5a79.46,625075.0,3414415.0,76.30814035,30.85635477,292.922,8.401,0.09,8.0976,25.76,0.075,0.5,175.616,14.0652174
filebc494d5a79.47,628225.0,3407385.0,76.34019699,30.7926002,126.978,8.573,0.069,35.0896,23.296,0.195,0.625,125.44,15.3565217
filebc494d5a79.48,632165.0,3403025.0,76.38080574,30.7528368,173.811,8.466,0.114,34.4148,20.16,0.3525,0.5,188.16,14.0652174
filebc494d5a79.49,636565.0,3410055.0,76.42769992,30.81575509,246.838,8.44,0.097,29.0164,15.232,-0.015,0.5,225.792,10.5543478
filebc494d5a79.50,626865.0,3415935.0,76.32704636,30.8698762,214.374,8.506,0.046,27.6668,10.752,0.1275,0.5,150.528,10.9478261
filebc494d5a79.51,629895.0,3406315.0,76.35751196,30.78276615,265.433,8.57,0.109,66.1304,14.112,0.525,1.0,288.512,10.1195652
filebc494d5a79.52,630955.0,3408405.0,76.36885432,30.80150345,199.66,8.489,0.104,76.9272,12.096,0.6825,0.25,225.792,1.37173913
filebc494d5a79.53,627295.0,3399525.0,76.3295041,30.72179428,254.013,8.448,0.096,43.1872,11.2,0.3375,1.0,250.88,14.0652174
filebc494d5a79.54,624915.0,3406675.0,76.30552227,30.78654818,184.646,8.401,0.086,56.6832,33.824,0.3375,0.75,225.792,15.3608696
filebc494d5a79.55,626635.0,3405085.0,76.32329807,30.77202236,174.15,8.623,0.091,64.106,8.064,0.6375,0.75,225.792,15.8130435
filebc494d5a79.56,627845.0,3406675.0,76.33613759,30.78623625,232.797,8.431,0.115,18.8944,45.92,0.3525,0.875,225.792,19.7326087
filebc494d5a79.57,631255.0,3412625.0,76.37253079,30.83953841,249.203,8.569,0.098,42.5124,44.576,0.375,0.5,238.336,20.1695652
filebc494d5a79.58,631595.0,3405785.0,76.37520607,30.77779785,163.064,8.572,0.109,62.0816,78.4,0.5625,4.25,313.6,14.0652174
filebc494d5a79.59,629595.0,3410105.0,76.35485701,30.81698842,138.127,8.8,0.064,37.7888,6.72,0.2625,0.5,175.616,14.0652174
filebc494d5a79.60,633955.0,3408735.0,76.40024825,30.80414538,198.35,8.411,0.085,68.8296,9.408,0.165,1.125,188.16,20.4217391
filebc494d5a79.61,630215.0,3405535.0,76.36075637,30.77569473,282.749,8.442,0.107,49.9352,7.168,0.39,0.25,200.704,14.0652174
filebc494d5a79.62,627385.0,3406355.0,76.33129135,30.78339895,173.769,8.398,0.112,64.7808,73.024,0.315,0.375,188.16,14.0652174
filebc494d5a79.63,628325.0,3400675.0,76.34040279,30.73205796,222.719,8.4,0.133,116.0656,8.288,0.465,1.125,188.16,14.0652174
filebc494d5a79.64,633215.0,3405645.0,76.39211316,30.7763543,191.25,8.23,0.171,180.1716,19.712,0.675,1.375,200.704,14.0652174
filebc494d5a79.65,627005.0,3399735.0,76.32650188,30.72371971,251.05,8.54,0.131,109.3176,8.96,0.615,0.5,225.792,21.126087
filebc494d5a79.66,625345.0,3411945.0,76.31066064,30.83404417,194.453,8.488,0.078,22.9432,13.664,0.36,0.75,263.424,17.1521739
filebc494d5a79.67,624245.0,3400055.0,76.29772008,30.72689788,152.73,8.596,0.104,48.5856,10.528,0.24,0.375,200.704,8.72173913
filebc494d5a79.68,630465.0,3407325.0,76.36359609,30.79181482,206.35,8.42,0.116,93.1224,32.032,0.255,0.5,150.528,19.2456522
