point_id,longitude,latitude,original_class,original_name,original_landuse,rabi_max,rabi_mean,spring_max,spring_mean,kharif_max,kharif_mean,kharif_early_max,kharif_early_mean,annual_mean,annual_std,annual_min,n_observations,class_rabi_2025_26,class_kharif_2025
76.266698_30.782512,76.26669817963302,30.782512343433314,2,Maize_Tall,maize,0.30014992,0.23637445076923075,0.9030192,0.8353169777777778,0.8414877,0.5341585827272727,0.77911526,0.77911526,0.5165241959090908,0.2931700296527939,0.058347777,121,Spring_Maize,Kharif_Maize
76.278542_30.785193,76.27854219683815,30.785193040794244,4,Others,bajra,0.508519,0.2892324884615385,0.9682628,0.7419729122222222,0.8696418,0.7355860800000001,0.51099384,0.36032784,0.5497143878225804,0.2611174475127011,0.0450656,124,Spring_Maize,Kharif_Maize
76.282794_30.822053,76.28279388599485,30.822052721289708,4,Others,barseem,0.85939175,0.7976177930769229,0.79368746,0.6937103855555555,0.8212851,0.6636072963636364,0.76611525,0.47550839500000003,0.5894451026190476,0.24820169922193414,0.04734982,126,Other,Kharif_Maize
76.285211_30.799473,76.28521135283525,30.79947275485687,2,Maize_Tall,Maizeee123,0.6659476,0.4703850230769231,0.9837984,0.7124488311111111,0.885698,0.7178411088888889,0.2976639,0.2976639,0.487103775,0.25542252112485775,0.05152471,122,Spring_Maize,Rice
76.285969_30.80145,76.28596931342835,30.80145016765359,2,Maize_Tall,maize,0.38548326,0.28202023846153856,1.0,0.8418742722222221,0.88726515,0.6197754272727273,0.77080667,0.77080667,0.551497499516129,0.26343780548020235,0.04076087,124,Spring_Maize,Kharif_Maize
76.288094_30.796196,76.28809417174969,30.79619606626463,1,Wheat,wheat,0.8707706,0.8191303515384616,0.29714286,0.18754201288888891,0.86859626,0.7014344159999999,0.52815604,0.52815604,0.45580152822764225,0.28493974198387917,0.0502924,123,Wheat,Kharif_Maize
76.290195_30.789138,76.2901947140822,30.78913768790817,1,Wheat,wheat,0.8848854,0.8050232484615385,0.522694,0.3191144211111111,0.85081583,0.754476879090909,0.4515402,0.4515402,0.4432287230322581,0.2754836475131109,0.03438694,124,Wheat,Kharif_Maize
76.291764_30.726687,76.29176418733536,30.7266866256186,2,Maize_Tall,maize,0.9179087,0.8340255315384615,0.2255201,0.14884922777777776,0.8788347,0.7058221072727272,0.78690344,0.78690344,0.43313037495081963,0.31213965080674083,-0.013333334,122,Wheat,Kharif_Maize
76.292307_30.775132,76.29230657829105,30.775131887534144,2,Maize_Tall,maize,0.739925,0.4646399384615384,1.0,0.6421771933333333,0.8994902,0.7014996554545454,0.40612075,0.23847453999999998,0.5178947295967743,0.25946562169368104,0.04418262,124,Spring_Maize,Kharif_Maize
76.295512_30.803791,76.29551209434233,30.803791173649973,4,Others,cucumber,0.31478134,0.24263934846153848,0.75069606,0.61860353,0.82462764,0.70497356,0.80562544,0.77373842,0.5245488935519999,0.22791647328759893,0.065737054,125,Spring_Maize,Kharif_Maize
76.296107_30.739004,76.29610663303197,30.73900413826576,1,Wheat,wheat,0.5752539,0.30663256769230773,0.9743407,0.7953661599999999,0.81408453,0.6564540200000001,0.62189054,0.62189054,0.5464593033606558,0.24675322141615103,0.13727315,122,Spring_Maize,Kharif_Maize
76.297925_30.820007,76.29792509856131,30.82000731192583,2,Maize_Tall,maize,0.85288554,0.8053305623076922,0.37994945,0.23108415999999998,0.8146038,0.646898321111111,0.54419994,0.32007977000000004,0.42349951605645164,0.28218029007844886,0.046754427,124,Wheat,Kharif_Maize
76.29815_30.821178,76.29814992816998,30.82117796707127,1,Wheat,whaet,0.88176197,0.8246694007692307,0.35284138,0.23591301777777776,0.81574696,0.359532595,0.67826086,0.67826086,0.39352596403199996,0.2864501673175872,0.05450875,125,Wheat,Kharif_Maize
76.29902_30.730404,76.29902038014657,30.730403644204934,4,Others,mustar+sugarcane,0.8847458,0.82059202,0.47033718,0.23423982666666665,0.77662337,0.6941449927272727,0.37348002,0.317321045,0.4445609316747967,0.28029659798072804,0.09451946,123,Wheat,Rice
76.29979_30.733283,76.2997901342746,30.733283130925173,1,Wheat,wheat,0.8898798,0.8255568584615385,0.3695233,0.21757706888888886,0.849159,0.6479103263636364,0.48401162,0.265093833,0.42037516995121954,0.29177579206702786,0.046176046,123,Wheat,Kharif_Maize
76.300172_30.800587,76.30017248325814,30.800586665256876,1,Wheat,wheat,0.8401207,0.8044639292307691,0.3424584,0.2099108677777778,0.8933977,0.7156730936363638,0.47676545,0.47676545,0.41625029243199996,0.2788511097990852,0.05144033,125,Wheat,Kharif_Maize
76.301475_30.773145,76.30147513189145,30.773145474987185,1,Wheat,wheat,0.9161372,0.8420595053846152,0.30334988,0.19083273,0.83425415,0.5953117609999999,0.7531735,0.4843506,0.43574905104032247,0.30087328980605454,0.04120603,124,Wheat,Kharif_Maize
76.303044_30.788738,76.30304371037768,30.788738493646804,1,Wheat,Wheatnxbx,0.89118606,0.8239896292307692,0.2770998,0.21377234555555555,0.87928224,0.698848967,0.6875769,0.6875769,0.5006727614516129,0.27017825554721037,0.09381948,124,Wheat,Kharif_Maize
76.304133_30.807494,76.30413299055623,30.80749410447621,3,Agroforestry,agroforestry,0.78167117,0.7295968853846155,0.8157651,0.6660457066666666,0.7390146,0.6848541220000001,0.7315522,0.68833155,0.638937830352,0.1314454818826961,0.073865764,125,Spring_Maize,Kharif_Maize
76.30454_30.798919,76.30453976944666,30.798918749469117,4,Others,cucumber,0.60860926,0.3997460753846154,0.6002626,0.5246736844444444,0.3930921,0.2927918244444444,0.19249593,0.19249593,0.4320868219354839,0.1697155149430289,0.04818024,124,Other,Other
76.305522_30.786548,76.30552227332193,30.786548179750383,1,Wheat,wheat +sugarcane,0.87950784,0.8264272407692308,0.5101871,0.28594493111111113,0.8518519,0.6752815709090908,0.361302,0.361302,0.43524499698400004,0.2793524643732192,0.06533776,125,Wheat,Rice
76.305524_30.732504,76.30552419358486,30.73250377163866,2,Maize_Tall,maize,0.7726771,0.6982196938461539,0.3749072,0.22038147888888884,0.70783275,0.5565727109999999,0.4876033,0.380824235,0.38406871547967486,0.19026050925855553,0.11220861,123,Wheat,Kharif_Maize
76.308057_30.85022,76.30805708845197,30.850220442804865,4,Others,flower,0.8420561,0.7773220253846154,0.54236335,0.35724615000000004,0.8628673,0.603546794,0.745087,0.745087,0.4013948642992126,0.20530489837280103,0.044864666,127,Wheat,Kharif_Maize
