point_id,longitude,latitude,original_class,original_name,original_landuse,rabi_max,spring_max,prekharif_max,prekharif_mean,flood_ndwi_max,flood_mndwi_max,flood_ndvi_mean,kharif_max,kharif_mean,end_max,end_mean,annual_mean,annual_std,annual_min,annual_max,class_rabi_2025_26,class_kharif_2025
76.266698_30.782512,76.26669817963302,30.782512343433314,2,Maize_Tall,maize,0.30014992,0.9030192,0.17446177,0.1345772811,,,,0.8414877,0.6589104771428572,0.6602268,0.32913487723076923,0.5165241959090908,0.2931700296527939,0.058347777,0.92108446,Spring_Maize,Rice_Probable
76.278542_30.785193,76.27854219683815,30.785193040794244,4,Others,bajra,0.508519,0.9682628,0.88947767,0.770377485,-0.4671221,-0.38763493,0.51099384,0.8696418,0.742067792857143,0.72885907,0.5084499253846153,0.5497143878225804,0.2611174475127011,0.0450656,0.9781022,Spring_Maize,Kharif_Maize
76.282794_30.822053,76.28279388599485,30.822052721289708,4,Others,barseem,0.85939175,0.79368746,0.74006736,0.39855763299999997,-0.11880165,-0.041573033,0.18490154,0.8212851,0.6685468328571428,0.28859738,0.24548328083333334,0.5894451026190476,0.24820169922193414,0.04734982,0.921448,Other,Other
76.285211_30.799473,76.28521135283525,30.79947275485687,2,Maize_Tall,Maizeee123,0.6659476,0.9837984,0.7707076,0.675091875,,,,0.885698,0.7437945333333333,0.5714286,0.23998715,0.487103775,0.25542252112485775,0.05152471,0.9837984,Spring_Maize,Kharif_Maize
76.285969_30.80145,76.28596931342835,30.80145016765359,2,Maize_Tall,maize,0.38548326,1.0,0.76532185,0.536952519,,,,0.88726515,0.7256730142857143,0.32408103,0.1589951769230769,0.551497499516129,0.26343780548020235,0.04076087,1.0,Spring_Maize,Kharif_Maize
76.288094_30.796196,76.28809417174969,30.79619606626463,1,Wheat,wheat,0.8707706,0.29714286,0.58905447,0.36472283899999997,,,,0.86859626,0.7562749516666667,0.44381735,0.3020621,0.45580152822764225,0.28493974198387917,0.0502924,0.93587273,Wheat,Kharif_Maize
76.290195_30.789138,76.2901947140822,30.78913768790817,1,Wheat,wheat,0.8848854,0.522694,0.14483494,0.13136724959999999,,,,0.85081583,0.77954921,0.72324204,0.5450960061538461,0.4432287230322581,0.2754836475131109,0.03438694,0.8848854,Wheat,Rice_Probable
76.291764_30.726687,76.29176418733536,30.7266866256186,2,Maize_Tall,maize,0.9179087,0.2255201,0.10677382,0.06923773939999998,,,,0.8788347,0.7550321,0.5479744,0.3344282025,0.43313037495081963,0.31213965080674083,-0.013333334,0.9251941,Wheat,Rice_Probable
76.292307_30.775132,76.29230657829105,30.775131887534144,2,Maize_Tall,maize,0.739925,1.0,0.79933316,0.7117388149999999,-0.016524216,0.38523275,0.07082833,0.8994902,0.76318993,0.5271808,0.31447364916666665,0.5178947295967743,0.25946562169368104,0.04418262,1.0,Spring_Maize,Other
76.295512_30.803791,76.29551209434233,30.803791173649973,4,Others,cucumber,0.31478134,0.75069606,0.43596214,0.289607393,-0.6266234,-0.44157815,0.7418514,0.82462764,0.7341901042857142,0.72721857,0.6310519707692308,0.5245488935519999,0.22791647328759893,0.065737054,0.9137931,Spring_Maize,Kharif_Maize
76.296107_30.739004,76.29610663303197,30.73900413826576,1,Wheat,wheat,0.5752539,0.9743407,0.20898438,0.170763251,,,,0.81408453,0.6761492471428571,0.7003802,0.5741855633333334,0.5464593033606558,0.24675322141615103,0.13727315,0.9743407,Spring_Maize,Rice_Probable
76.297925_30.820007,76.29792509856131,30.82000731192583,2,Maize_Tall,maize,0.85288554,0.37994945,0.12780268,0.10967335900000001,-0.10714286,0.046337817,0.0959596,0.8146038,0.6962119339999999,0.6209495,0.3881271930769231,0.42349951605645164,0.28218029007844886,0.046754427,0.9502134,Wheat,Rice
76.29815_30.821178,76.29814992816998,30.82117796707127,1,Wheat,whaet,0.88176197,0.35284138,0.1697128,0.1224187524,,,,0.81574696,0.4452921316666667,0.23716381,0.20554152307692306,0.39352596403199996,0.2864501673175872,0.05450875,0.9336939,Wheat,Rice_Probable
76.29902_30.730404,76.29902038014657,30.730403644204934,4,Others,mustar+sugarcane,0.8847458,0.47033718,0.27514037,0.15120795459999997,-0.24216868,-0.2962238,0.26116207,0.77662337,0.7156048742857143,0.6187576,0.37877740166666674,0.4445609316747967,0.28029659798072804,0.09451946,0.93760264,Wheat,Rice_Probable
76.29979_30.733283,76.2997901342746,30.733283130925173,1,Wheat,wheat,0.8898798,0.3695233,0.15533286,0.10751515780000001,-0.03202847,0.5306697,0.046176046,0.849159,0.6944933042857142,0.33794695,0.2629643816666667,0.42037516995121954,0.29177579206702786,0.046176046,0.92079616,Wheat,Rice
76.300172_30.800587,76.30017248325814,30.800586665256876,1,Wheat,wheat,0.8401207,0.3424584,0.11598746,0.0950404238,,,,0.8933977,0.7688237400000001,0.6045198,0.31928510692307693,0.41625029243199996,0.2788511097990852,0.05144033,0.8933977,Wheat,Rice_Probable
76.301475_30.773145,76.30147513189145,30.773145474987185,1,Wheat,wheat,0.9161372,0.30334988,0.21356784,0.11368099059999999,-0.16647264,0.108359136,0.2155277,0.83425415,0.6307099333333334,0.29098362,0.2161343295,0.43574905104032247,0.30087328980605454,0.04120603,0.91687447,Wheat,Rice
76.303044_30.788738,76.30304371037768,30.788738493646804,1,Wheat,Wheatnxbx,0.89118606,0.2770998,0.7644172,0.665464157,,,,0.87928224,0.7531762483333333,0.55,0.2346643025,0.5006727614516129,0.27017825554721037,0.09381948,1.0,Wheat,Kharif_Maize
76.304133_30.807494,76.30413299055623,30.80749410447621,3,Agroforestry,agroforestry,0.78167117,0.8157651,0.60213774,0.492441118,-0.5088825,-0.23822223,0.6451109,0.7271095,0.697004615,0.7644628,0.6224787030769232,0.638937830352,0.1314454818826961,0.073865764,0.88445747,Spring_Maize,Kharif_Maize
76.30454_30.798919,76.30453976944666,30.798918749469117,4,Others,cucumber,0.60860926,0.6002626,0.6078959,0.47366345499999996,,,,0.3930921,0.29128075400000003,0.5323077,0.4159832176923076,0.4320868219354839,0.1697155149430289,0.04818024,0.7894737,Other,Other
76.305522_30.786548,76.30552227332193,30.786548179750383,1,Wheat,wheat +sugarcane,0.87950784,0.5101871,0.13431212,0.1090158993,,,,0.8518519,0.7359972857142857,0.54058194,0.39771515583333333,0.43524499698400004,0.2793524643732192,0.06533776,0.91276646,Wheat,Rice_Probable
76.305524_30.732504,76.30552419358486,30.73250377163866,2,Maize_Tall,maize,0.7726771,0.3749072,0.2701049,0.218135433,-0.26838747,0.1038526,0.27404517,0.70783275,0.5823401549999999,0.35502282,0.30498360750000003,0.38406871547967486,0.19026050925855553,0.11220861,0.7726771,Wheat,Rice
76.308057_30.85022,76.30805708845197,30.850220442804865,4,Others,flower,0.8420561,0.54236335,0.5559921,0.373665951,,,,0.8628673,0.6672336799999999,0.29712793,0.2239132046153846,0.4013948642992126,0.20530489837280103,0.044864666,0.8628673,Wheat,Kharif_Maize
76.308639_30.785163,76.30863864371808,30.785163398826068,4,Others,sugarcane,0.58034456,0.5254237,0.6762726,0.5482053280000001,-0.59432316,-0.43508664,0.7009085,0.8098894,0.740870862857143,0.7599094,0.6459372523076924,0.5641892661111112,0.19533587364107746,0.05984,0.93048835,Other,Kharif_Maize
