point_id,longitude,latitude,original_class,original_name,original_landuse,rabi_max,rabi_mean,spring_max,spring_mean,kharif_max,kharif_mean,kharif_early_max,kharif_early_mean,annual_mean,annual_std,annual_min,n_observations,class_rabi_2025_26,class_kharif_2025
76.266698_30.782512,76.26669817963302,30.782512343433314,2,Maize_Tall,maize,0.30014992,0.23637445076923075,0.9030192,0.8353169777777778,0.8414877,0.5341585827272727,0.77911526,0.77911526,0.5165241959090908,0.2931700296527939,0.058347777,121,Spring_Maize,Kharif_Maize
76.285211_30.799473,76.28521135283525,30.79947275485687,2,Maize_Tall,Maizeee123,0.6659476,0.4703850230769231,0.9837984,0.7124488311111111,0.885698,0.7178411088888889,0.2976639,0.2976639,0.487103775,0.25542252112485775,0.05152471,122,Spring_Maize,Rice
76.285969_30.80145,76.28596931342835,30.80145016765359,2,Maize_Tall,maize,0.38548326,0.28202023846153856,1.0,0.8418742722222221,0.88726515,0.6197754272727273,0.77080667,0.77080667,0.551497499516129,0.26343780548020235,0.04076087,124,Spring_Maize,Kharif_Maize
76.291764_30.726687,76.29176418733536,30.7266866256186,2,Maize_Tall,maize,0.9179087,0.8340255315384615,0.2255201,0.14884922777777776,0.8788347,0.7058221072727272,0.78690344,0.78690344,0.43313037495081963,0.31213965080674083,-0.013333334,122,Wheat,Kharif_Maize
76.292307_30.775132,76.29230657829105,30.775131887534144,2,Maize_Tall,maize,0.739925,0.4646399384615384,1.0,0.6421771933333333,0.8994902,0.7014996554545454,0.40612075,0.23847453999999998,0.5178947295967743,0.25946562169368104,0.04418262,124,Spring_Maize,Kharif_Maize
76.297925_30.820007,76.29792509856131,30.82000731192583,2,Maize_Tall,maize,0.85288554,0.8053305623076922,0.37994945,0.23108415999999998,0.8146038,0.646898321111111,0.54419994,0.32007977000000004,0.42349951605645164,0.28218029007844886,0.046754427,124,Wheat,Kharif_Maize
76.305524_30.732504,76.30552419358486,30.73250377163866,2,Maize_Tall,maize,0.7726771,0.6982196938461539,0.3749072,0.22038147888888884,0.70783275,0.5565727109999999,0.4876033,0.380824235,0.38406871547967486,0.19026050925855553,0.11220861,123,Wheat,Kharif_Maize
76.322756_30.770584,76.32275595834642,30.770584312064354,2,Maize_Tall,maize,0.52474636,0.4712015584615385,0.55830985,0.47401653888888895,0.8446796,0.7056362799999999,0.8077922,0.7074187999999999,0.502490633442623,0.13671558072643125,0.17628458,122,Other,Kharif_Maize
76.324717_30.776429,76.32471679843447,30.776428844827407,2,Maize_Tall,maize,0.91096216,0.8302080433333333,0.21164815,0.16668489288888888,0.8545842,0.49839536545454544,0.6764402,0.40007221000000004,0.4025953615080645,0.29858308180249926,0.06551549,124,Wheat,Kharif_Maize
76.32471_30.730144,76.32470989829504,30.730143949818977,2,Maize_Tall,maize,0.41865158,0.3324293076923077,0.9937824,0.7800583466666667,0.88195896,0.6870135272727271,0.10837119,0.10837119,0.5042113434916666,0.2969411910268202,0.05681124,120,Spring_Maize,Rice
76.324808_30.74494,76.32480790315338,30.744939736203037,2,Maize_Tall,maize,0.5051936,0.3712317207692307,0.897346,0.6667128844444444,0.57377046,0.29829272900000003,0.15503247,0.10065789,0.4393910601626016,0.22034552509288863,0.04628331,123,Spring_Maize,Other
76.334562_30.861228,76.33456189168277,30.86122779189324,2,Maize_Tall,maize,0.81306833,0.7412294192307692,0.31559116,0.20763909111111112,0.8650866,0.759359754,0.59683794,0.59683794,0.44387056241953127,0.279279273468528,-0.03591954,128,Wheat,Kharif_Maize
76.337271_30.724602,76.3372709413635,30.724601665794108,2,Maize_Tall,maize,0.30266717,0.22259605074074076,0.9652651,0.7422440235294117,0.6859868,0.6213385005263158,0.8272892,0.7492885025,0.5030468228024193,0.2321667711219492,-0.014245015,248,Spring_Maize,Kharif_Maize
76.340129_30.795217,76.34012878696949,30.79521738099712,2,Maize_Tall,maize,0.79469204,0.7270098276923076,0.79136693,0.6839236533333333,0.82638705,0.7223199336363636,0.75324315,0.733912705,0.6235750559055117,0.12272445102987636,0.06525339,127,Other,Kharif_Maize
76.343769_30.793917,76.34376863969742,30.793916570572435,2,Maize_Tall,maize,0.85292184,0.7921693476923076,0.36609152,0.23493888666666665,0.8935018,0.591947581,0.7487209,0.467713335,0.4363745543333334,0.2869544059302729,0.07285897,126,Wheat,Kharif_Maize
76.35342_30.774147,76.35342030902784,30.77414749326948,2,Maize_Tall,maize,0.90144926,0.8428580776923078,0.2327044,0.1716541411111111,0.93751466,0.823539848,0.79964644,0.53417905,0.4480816447039999,0.3187214447958377,0.052854124,125,Wheat,Kharif_Maize
76.362852_30.776124,76.36285224334434,30.77612383261206,2,Maize_Tall,maize,0.3692156,0.2742402369230769,1.0,0.8572049222222222,0.83532,0.391998812,0.84391606,0.664897515,0.487195498208,0.295297084675942,0.03518931,125,Spring_Maize,Kharif_Maize
76.373973_30.749842,76.37397290028238,30.749841766549267,2,Maize_Tall,maize,0.9099591,0.855683243846154,0.35714287,0.22005744444444444,0.9190031,0.76534704,0.6331096,0.381309385,0.45594390190243905,0.2980629519928509,0.07013172,123,Wheat,Kharif_Maize
76.416644_30.76039,76.4166436416022,30.760389929548943,2,Maize_Tall,Maize big8282,0.89344454,0.8372920907692308,0.4283939,0.22846588888888889,0.8974359,0.7775106233333333,0.54058725,0.26184631999999997,0.43956730115447157,0.31186333485196854,-0.01689461,123,Wheat,Kharif_Maize
