point_id,longitude,latitude,original_class,original_name,original_landuse,rabi_max,spring_max,prekharif_max,prekharif_mean,flood_ndwi_max,flood_mndwi_max,flood_ndvi_mean,kharif_max,kharif_mean,end_max,end_mean,annual_mean,annual_std,annual_min,annual_max,class_rabi_2025_26,class_kharif_2025
76.266698_30.782512,76.26669817963302,30.782512343433314,2,Maize_Tall,maize,0.30014992,0.9030192,0.17446177,0.1345772811,,,,0.8414877,0.6589104771428572,0.6602268,0.32913487723076923,0.5165241959090908,0.2931700296527939,0.058347777,0.92108446,Spring_Maize,Rice_Probable
76.285211_30.799473,76.28521135283525,30.79947275485687,2,Maize_Tall,Maizeee123,0.6659476,0.9837984,0.7707076,0.675091875,,,,0.885698,0.7437945333333333,0.5714286,0.23998715,0.487103775,0.25542252112485775,0.05152471,0.9837984,Spring_Maize,Kharif_Maize
76.285969_30.80145,76.28596931342835,30.80145016765359,2,Maize_Tall,maize,0.38548326,1.0,0.76532185,0.536952519,,,,0.88726515,0.7256730142857143,0.32408103,0.1589951769230769,0.551497499516129,0.26343780548020235,0.04076087,1.0,Spring_Maize,Kharif_Maize
76.291764_30.726687,76.29176418733536,30.7266866256186,2,Maize_Tall,maize,0.9179087,0.2255201,0.10677382,0.06923773939999998,,,,0.8788347,0.7550321,0.5479744,0.3344282025,0.43313037495081963,0.31213965080674083,-0.013333334,0.9251941,Wheat,Rice_Probable
76.292307_30.775132,76.29230657829105,30.775131887534144,2,Maize_Tall,maize,0.739925,1.0,0.79933316,0.7117388149999999,-0.016524216,0.38523275,0.07082833,0.8994902,0.76318993,0.5271808,0.31447364916666665,0.5178947295967743,0.25946562169368104,0.04418262,1.0,Spring_Maize,Other
76.297925_30.820007,76.29792509856131,30.82000731192583,2,Maize_Tall,maize,0.85288554,0.37994945,0.12780268,0.10967335900000001,-0.10714286,0.046337817,0.0959596,0.8146038,0.6962119339999999,0.6209495,0.3881271930769231,0.42349951605645164,0.28218029007844886,0.046754427,0.9502134,Wheat,Rice
76.305524_30.732504,76.30552419358486,30.73250377163866,2,Maize_Tall,maize,0.7726771,0.3749072,0.2701049,0.218135433,-0.26838747,0.1038526,0.27404517,0.70783275,0.5823401549999999,0.35502282,0.30498360750000003,0.38406871547967486,0.19026050925855553,0.11220861,0.7726771,Wheat,Rice
76.322756_30.770584,76.32275595834642,30.770584312064354,2,Maize_Tall,maize,0.52474636,0.55830985,0.27529413,0.218361699,-0.50546134,-0.30548304,0.6070454,0.8446796,0.74350869,0.63883233,0.5548337890909092,0.502490633442623,0.13671558072643125,0.17628458,0.8446796,Other,Rice_Probable
76.324717_30.776429,76.32471679843447,30.776428844827407,2,Maize_Tall,maize,0.91096216,0.21164815,0.10837119,0.0936234531,-0.046332046,0.5153374,0.12370422,0.8545842,0.6382641157142858,0.22158796,0.18261424538461538,0.4025953615080645,0.29858308180249926,0.06551549,0.91096216,Wheat,Rice
76.32471_30.730144,76.32470989829504,30.730143949818977,2,Maize_Tall,maize,0.41865158,0.9937824,0.12893982,0.1037971824,-0.049140047,0.40599456,0.10837119,0.88195896,0.7589749814285714,0.31107804,0.14812152408333334,0.5042113434916666,0.2969411910268202,0.05681124,0.9937824,Spring_Maize,Rice
